episode,reward,loss,len,e
0,-13.373048378905033,13.875522,8,1.0
1,-12.7413026701487,70.769455,8,0.95
2,-10,16.580198,1,0.9025
3,-13.62292523193388,113.60675,9,0.857375
4,-11.424813085591108,72.810776,7,0.81450625
5,-16.208980968215016,78.84063,11,0.7737809375
6,-10,9.054773,1,0.735091890625
7,-10.839331275874423,26.44865,3,0.698337296094
8,-10,8.650002,1,0.663420431289
9,-13.053594494804983,49.59679,7,0.630249409725
10,-11.21445555912635,20.544958,4,0.598736939238
11,-11.74045258838724,86.904144,11,0.568800092276
12,-12.348132231315876,86.765594,10,0.540360087663
13,-10,7.8235307,1,0.51334208328
14,-13.164364815644305,72.800606,8,0.487674979116
15,-13.099114823744756,85.500046,9,0.46329123016
16,-19.04103307702215,168.12991,20,0.440126668652
17,-14.206782264771538,91.25705,14,0.418120335219
18,-10.363922158956155,19.970154,3,0.397214318458
19,-13.615270007107062,120.74974,20,0.377353602535
20,-12.683627157321629,97.794495,17,0.358485922409
21,-13.430093590126317,119.75869,20,0.340561626288
22,-12.374330039806843,99.596176,15,0.323533544974
23,-14.175025008284834,120.85928,20,0.307356867725
24,-14.35753574878424,113.67595,20,0.291989024339
25,-10.535888301808605,17.685076,3,0.277389573122
26,-11.259215974872276,42.32997,8,0.263520094466
27,-11.689443853441619,61.939888,11,0.250344089742
28,-13.750821789008938,99.200455,20,0.237826885255
29,-13.22773208118551,95.58462,20,0.225935540993
30,-12.954507313881464,109.630905,20,0.214638763943
31,-16.83233776353987,87.22374,20,0.203906825746
32,-13.235995774723675,45.560177,9,0.193711484459
33,-14.507627396195886,93.09578,20,0.184025910236
34,-12.351446138936698,88.7801,20,0.174824614724
35,-12.57042356517611,70.57575,20,0.166083383988
36,-21.24523902281078,100.82776,20,0.157779214788
37,18.53840357707553,72.7762,14,0.149890254049
38,-10,4.7990813,1,0.142395741346
39,-14.747031831118669,103.80748,20,0.135275954279
40,-16.50017188973358,65.775894,20,0.128512156565
41,-14.423462570191493,85.22018,20,0.122086548737
42,-13.213660903203438,77.95386,20,0.1159822213
43,19.526780046440294,13.0745535,4,0.110183110235
44,19.539221146757054,22.062044,4,0.104673954723
45,-10,3.5746071,1,0.0994402569871
46,-12.275723281839195,91.491875,20,0.0944682441377
47,-11.624423225254343,34.36501,5,0.0897448319309
48,-16.41195785550307,108.275986,20,0.0852575903343
49,-12.529393117161472,80.22381,20,0.0809947108176
50,-12.616397863589576,116.66219,20,0.0769449752767
51,18.839328577968637,42.066143,6,0.0730977265129
52,-11.000676953738799,62.40601,5,0.0694428401872
53,-10.371018109150757,18.439627,3,0.0659706981779
54,-10.363520566937447,23.45316,3,0.062672163269
55,-10.362955215380149,13.080335,3,0.0595385551055
56,17.834335908175987,61.12233,9,0.0565616273503
57,17.83014077109281,51.411602,9,0.0537335459827
58,19.538121045581153,56.052933,4,0.0510468686836
59,19.540089290173825,45.837032,4,0.0484945252494
60,-13.33007315845235,121.52409,20,0.046069798987
61,-17.584572059633004,175.77357,20,0.0437663090376
62,14.943384122956957,141.67114,18,0.0415779935857
63,-13.789582520781806,137.24869,14,0.0394990939064
