episode,reward,loss,len,e
0,-10,99.15717,1,1.0
1,-13.499720749585364,182.98163,8,0.98
2,-10.316420131816033,41.957596,2,0.9604
3,-12.167972250889147,118.87593,7,0.941192
4,-10,18.319637,1,0.92236816
5,-11.718051267944336,112.20882,9,0.9039207968
6,-14.415823718714558,95.51544,10,0.885842380864
7,-10,7.5284853,1,0.868125533247
8,-12.335604639186958,94.61745,10,0.850763022582
9,-16.255056824804658,127.58096,18,0.83374776213
10,-12.595880598362546,75.098114,11,0.817072806888
11,-10,8.294986,1,0.80073135075
12,-16.035894227971532,106.39242,12,0.784716723735
13,-10.423569135589847,15.8292055,2,0.76902238926
14,-11.018842083581145,21.69704,3,0.753641941475
15,-11.41345643970879,50.63669,6,0.738569102645
16,20,6.4513707,1,0.723797720592
17,-11.059690079649078,74.72595,5,0.709321766181
18,-10.519261742474503,37.83029,2,0.695135330857
19,-11.020620724560192,52.64372,3,0.68123262424
20,-10,20.19455,1,0.667607971755
21,-16.977661964105813,168.66302,15,0.65425581232
22,-22.81573139367317,229.82867,23,0.641170696074
23,-13.749379817356225,103.842125,10,0.628347282152
24,-12.498554271796671,65.927956,8,0.615780336509
25,-10.520044030099493,40.282944,4,0.603464729779
26,19.90081442732054,27.25761,2,0.591395435183
27,-12.080471033786083,114.23721,8,0.57956752648
28,-14.550194176200641,67.66331,7,0.56797617595
29,-15.221286789266301,163.18379,14,0.556616652431
30,-20.37936159005797,394.66956,47,0.545484319382
31,-12.520113380532132,86.70497,9,0.534574632995
32,-16.257606469741916,167.58572,16,0.523883140335
33,19.331210192202608,41.73519,6,0.513405477528
34,-17.07277139158666,266.61945,24,0.503137367978
35,-33.011649608788545,445.8757,50,0.493074620618
36,-14.758222350824148,74.45603,10,0.483213128206
37,-13.414432908230141,217.77731,18,0.473548865642
38,-16.500379977366553,102.58826,12,0.464077888329
39,-17.92813677893196,248.77377,29,0.454796330562
40,-47.83699637440293,347.75336,46,0.445700403951
41,-12.945336785956506,53.221283,12,0.436786395872
42,-16.35620884222005,150.6184,20,0.428050667954
